Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
1962500000,-9.114273963,159.7813503,-560.2186497,-3.797787959,129.7746686,-590.2253314,-3.60402963,130.3236456,-589.6763544,-12.09232584,-171.1142773,-531.1142773
1975000000,-11.49157813,168.3268672,-551.6731328,-2.869789876,126.3648807,-593.6351193,-3.210048418,121.6754613,-598.3245387,-12.52192818,-178.7008366,-538.7008366
1987500000,-9.290491003,161.7096679,-558.2903321,-2.138082462,128.840535,-591.159465,-2.474039776,121.2391845,-598.7608155,-13.76995675,150.7925792,-569.2074208
2000000000,-10.03019212,155.5400243,-564.4599757,-2.98737326,128.5290905,-591.4709095,-2.603280152,122.7935916,-597.2064084,-11.24340384,154.2051249,-565.7948751
2012500000,-7.643651207,150.0100664,-569.9899336,-4.212510227,124.3224976,-595.6775024,-3.026710107,123.6758606,-596.3241394,-11.66638119,164.0965773,-555.9034227
2025000000,-8.58418952,156.734089,-563.265911,-3.956050143,115.2341159,-604.7658841,-4.083147356,117.5432636,-602.4567364,-9.738389479,136.3803273,-583.6196727
2037500000,-8.376274554,141.2582728,-578.7417272,-3.739878349,104.8640547,-615.1359453,-4.367525107,106.8552317,-613.1447683,-11.01075492,156.3393836,-563.6606164
2050000000,-9.98281788,144.9935446,-575.0064554,-1.982249262,101.843711,-618.156289,-3.789125437,98.11680718,-621.8831928,-11.06984063,119.0105577,-600.9894423
2062500000,-8.49584847,110.0505883,-609.9494117,-2.032797473,103.9287652,-616.0712348,-2.276220092,98.40895336,-621.5910466,-11.98336457,122.8013497,-597.1986503
2075000000,-8.921955802,117.695862,-602.304138,-2.40830944,109.0067692,-610.9932308,-2.661960625,98.69214163,-621.3078584,-8.222456504,112.7161971,-607.2838029
2087500000,-7.070715138,123.2433527,-596.7566473,-3.539171967,97.94645206,-622.0535479,-3.209963099,104.7975203,-615.2024797,-10.55369065,115.5763627,-604.4236373
2100000000,-7.832916504,124.2456174,-595.7543826,-3.447088875,85.37194619,-634.6280538,-4.348394751,95.72069283,-624.2793072,-9.381033263,106.3345079,-613.6654921
2112500000,-11.34031936,102.9165179,-617.0834821,-2.3172337,80.45376129,-639.5462387,-4.416184441,83.70070586,-636.2992941,-8.908616771,89.78556601,-630.214434
2125000000,-9.977700728,118.2022368,-601.7977632,-0.936029929,77.06079955,-642.9392004,-3.558425518,77.76106812,-642.2389319,-6.60727542,83.69964584,-636.3003542
2137500000,-11.13777376,85.87146587,-634.1285341,-1.710990103,81.2906148,-638.7093852,-2.497977143,74.16819516,-645.8318048,-7.655641017,84.46299647,-635.5370035
2150000000,-6.96095486,80.04824151,-639.9517585,-2.919723568,74.73675065,-645.2632494,-2.286804169,73.80040253,-646.1995975,-7.070920118,85.31785612,-634.6821439
2162500000,-6.925325978,78.98310934,-641.0168907,-3.027397763,61.22776876,-658.7722312,-3.236848912,68.249658,-651.750342,-6.259112069,82.56291112,-637.4370889
2175000000,-7.884739726,68.77648778,-651.2235122,-2.687903163,52.14108523,-667.8589148,-3.86188437,59.15952387,-660.8404761,-6.48624909,66.2784156,-653.7215844
2187500000,-7.903608059,65.64905374,-654.3509463,-2.449471429,51.53822136,-668.4617786,-3.680107412,47.9801256,-672.0198744,-6.236361379,71.86372497,-648.136275
2200000000,-7.687167578,59.90829468,-660.0917053,-2.789400822,51.17148635,-668.8285137,-3.420525947,40.72813733,-679.2718627,-5.821863375,77.33105881,-642.6689412
2212500000,-6.717480513,62.15131533,-657.8486847,-3.753982521,49.1237385,-670.8762615,-3.083597856,44.14065461,-675.8593454,-5.603341474,78.3519599,-641.6480401
2225000000,-5.463958275,55.75389749,-664.2461025,-5.049902167,39.56689185,-680.4331081,-3.811436159,39.39786569,-680.6021343,-7.545526393,65.84663395,-654.153366
2237500000,-6.339620675,52.66394553,-667.3360545,-4.368124464,30.05282732,-689.9471727,-4.887632924,36.34204385,-683.6579561,-5.704733002,54.18037169,-665.8196283
2250000000,-7.045330668,58.16999175,-661.8300083,-4.050852028,32.19027558,-687.8097244,-5.76894774,31.41781253,-688.5821875,-5.374878317,59.2276772,-660.7723228
2262500000,-5.296791438,52.05307992,-667.9469201,-4.04431881,26.38280447,-693.6171955,-4.857776988,25.25953199,-694.740468,-4.584310807,47.15559047,-672.8444095
2275000000,-5.482770077,43.51357639,-676.4864236,-5.406590477,33.27022041,-686.7297796,-5.524439738,23.25254514,-696.7474549,-7.480900612,58.38860807,-661.6113919
2287500000,-5.972442267,34.38286373,-685.6171363,-5.943188066,28.81093808,-691.1890619,-5.65704452,25.12697139,-694.8730286,-6.718560748,58.16745654,-661.8325435
2300000000,-4.119812388,28.16356139,-691.8364386,-6.547174962,17.2969191,-702.7030809,-6.303645476,19.28021234,-700.7197877,-6.166784371,41.62359913,-678.3764009
2312500000,-5.19614047,31.03043303,-688.969567,-5.852228375,8.953780282,-711.0462197,-7.264129439,17.453266,-702.546734,-5.289923984,41.99834232,-678.0016577
2325000000,-7.507509966,33.04697704,-686.953023,-5.740939445,15.27191898,-704.728081,-8.003646998,22.99630481,-697.0036952,-6.087547253,35.93087703,-684.069123
2337500000,-4.503849619,22.64580059,-697.3541994,-5.523928777,10.37843642,-709.6215636,-7.209349338,3.045530903,-716.9544691,-4.715509882,35.65916484,-684.3408352
2350000000,-5.180002923,21.51560046,-698.4843995,-5.315953207,15.62644695,-704.373553,-5.797387926,2.024397645,-717.9756024,-4.849350578,39.14249467,-680.8575053
2362500000,1.950408909,-25.951991,-745.951991,9.420047252,56.4009707,-663.5990293,2.562183981,-29.72767862,-749.7276786,8.834875749,85.37835021,-634.6216498
2375000000,-4.542115576,18.96492993,-701.0350701,-6.266138586,2.292185721,-717.7078143,-5.368215816,8.173804878,-711.8261951,-4.348687318,32.07829158,-687.9217084
2387500000,-4.787278146,29.15623919,-690.8437608,-5.785480849,-1.112459561,-721.1124596,-5.351861385,16.14751192,-703.8524881,-6.317837448,11.13712926,-708.8628707
2400000000,-5.796442703,26.0208733,-693.9791267,-4.207251218,-7.200639958,-727.20064,-6.794506008,0.019422759,-719.9805772,-4.617823655,28.69768211,-691.3023179
2412500000,-4.520846266,22.03144366,-697.9685563,-5.168010043,-2.578055087,-722.5780551,-5.101601898,-11.11225671,-731.1122567,-7.489663268,18.65521522,-701.3447848
